FMC, 54.31%
FMC, 66.53%
FMC, 57.11%
FOX, 56.91%
FOX, 57.31%
FOX, 67.54%
FOX, 70.74%
FOXA, 52.71%
FOXA, 52.10%
FOXA, 67.13%
FOXA, 69.94%
FRT, 54.91%
FRT, 56.91%
FRT, 64.13%
FRT, 59.52%
FTI, 52.91%
FTI, 53.11%
FTI, 62.12%
FTI, 59.72%
GD, 54.11%
GD, 54.71%
GD, 68.34%
GD, 67.33%
GE, 56.71%
GE, 52.10%
GE, 62.93%
GE, 62.93%
GGP, 53.11%
GGP, 58.92%
GGP, 66.13%
GGP, 68.74%
GILD, 53.31%
GILD, 53.31%
GILD, 69.14%
GILD, 66.93%
GIS, 55.31%
GIS, 57.11%
GIS, 62.93%
GIS, 63.93%
GLW, 55.91%
GLW, 53.51%
GLW, 56.71%
GLW, 62.53%
GM, 55.51%
GM, 58.32%
GM, 74.15%
GM, 67.74%
GOOG, 52.91%
GOOG, 53.11%
GOOG, 59.52%
GOOG, 62.53%
GOOGL, 48.30%
GOOGL, 53.11%
GOOGL, 60.32%
GOOGL, 56.71%
GPC, 51.10%
GPC, 54.31%
GPC, 65.73%
GPC, 66.33%
GPN, 52.71%
GPN, 52.30%
GPN, 66.33%
GPN, 59.72%
GPS, 54.31%
GPS, 49.90%
GPS, 67.54%
GPS, 65.33%
GRMN, 54.11%
GRMN, 53.11%
GRMN, 65.13%
GRMN, 63.73%
GS, 54.91%
GS, 52.30%
GS, 64.93%
GS, 65.53%
GT, 57.31%
GT, 51.50%
GT, 64.53%
GT, 69.14%
GWW, 56.11%
GWW, 52.10%
GWW, 58.72%
GWW, 61.72%
HAL, 53.31%
HAL, 59.32%
HAL, 66.53%
HAL, 63.53%
HAS, 52.10%
HAS, 51.50%
HAS, 57.92%
HAS, 61.92%
HBAN, 48.50%
HBAN, 58.32%
HBAN, 65.73%
HBAN, 61.12%
HBI, 50.90%
HBI, 50.10%
HBI, 67.13%
HBI, 68.14%
HCA, 53.91%
HCA, 60.72%
HCA, 66.93%
HCA, 69.94%
HCP, 56.31%
HCP, 57.11%
HCP, 63.13%
HCP, 67.33%
HD, 51.70%
HD, 50.30%
HD, 59.12%
HD, 59.12%
HES, 52.10%
HES, 56.51%
HES, 64.13%
HES, 62.73%
HIG, 53.91%
HIG, 56.31%
HIG, 64.33%
HIG, 64.33%
HII, 57.11%
HII, 54.71%
HII, 66.73%
HII, 60.72%
HLT, 56.31%
HLT, 52.71%
HLT, 65.73%
HLT, 63.53%
HOG, 56.91%
HOG, 50.30%
HOG, 67.94%
HOG, 61.12%
HOLX, 56.71%
HOLX, 55.31%
HOLX, 67.94%
HOLX, 62.93%
HON, 55.11%
HON, 52.30%
HON, 53.31%
HON, 61.92%
HP, 56.31%
HP, 51.90%
HP, 62.12%
HP, 66.93%
HPQ, 55.71%
HPQ, 56.31%
HPQ, 65.33%
HPQ, 59.72%
HRB, 55.71%
HRB, 51.30%
HRB, 65.53%
HRB, 67.54%
HRL, 52.10%
HRL, 56.51%
HRL, 62.53%
HRL, 70.54%
HRS, 52.51%
HRS, 56.11%
HRS, 59.12%
HRS, 55.71%
HSIC, 49.90%
HSIC, 52.91%
HSIC, 69.14%
HSIC, 67.33%
HST, 54.91%
HST, 62.73%
HST, 67.74%
HST, 71.54%
HSY, 54.91%
HSY, 56.31%
HSY, 69.34%
HSY, 70.94%
HUM, 50.90%
HUM, 53.51%
HUM, 56.11%
HUM, 66.33%
IBM, 55.31%
IBM, 51.30%
IBM, 62.93%
IBM, 63.13%
ICE, 52.10%
ICE, 51.70%
ICE, 68.34%
ICE, 66.73%
IDXX, 49.30%
IDXX, 49.90%
IDXX, 62.73%
IDXX, 55.31%
IFF, 52.10%
IFF, 57.11%
IFF, 61.92%
IFF, 57.31%
ILMN, 56.71%
ILMN, 56.11%
ILMN, 69.54%
ILMN, 67.54%
INCY, 52.91%
INCY, 51.70%
INCY, 72.34%
INCY, 73.75%
INTC, 54.71%
INTC, 50.10%
INTC, 64.93%
INTC, 60.32%
INTU, 53.51%
INTU, 54.51%
INTU, 56.31%
INTU, 56.91%
IP, 51.30%
IP, 54.51%
IP, 69.14%
IP, 70.94%
IPG, 53.31%
IPG, 56.71%
IPG, 70.34%
IPG, 67.54%
IQV, 54.91%
IQV, 56.91%
IQV, 64.33%
IQV, 64.13%
IR, 52.10%
IR, 55.71%
IR, 61.92%
IR, 66.53%
IRM, 60.12%
IRM, 60.12%
IRM, 66.33%
IRM, 70.14%
ISRG, 52.51%
ISRG, 54.51%
ISRG, 59.92%
ISRG, 64.73%
IT, 56.71%
IT, 55.51%
IT, 65.93%
IT, 62.93%
ITW, 54.31%
ITW, 49.90%
ITW, 59.52%
ITW, 57.72%
IVZ, 54.11%
IVZ, 56.51%
IVZ, 68.34%
IVZ, 63.13%
JBHT, 52.71%
JBHT, 55.31%
JBHT, 59.32%
JBHT, 65.13%
JCI, 55.11%
JCI, 55.51%
JCI, 68.74%
JCI, 68.94%
JEC, 53.11%
JEC, 54.31%
JEC, 57.72%
JEC, 66.13%
JNJ, 50.10%
JNJ, 56.91%
JNJ, 61.92%
JNJ, 67.94%
JNPR, 55.71%
JNPR, 54.91%
JNPR, 63.93%
JNPR, 68.34%
JPM, 53.71%
JPM, 49.90%
JPM, 59.72%
JPM, 49.30%
JWN, 59.92%
JWN, 57.11%
JWN, 65.93%
JWN, 59.92%
K, 56.31%
K, 58.52%
K, 67.54%
K, 72.95%
KEY, 51.90%
KEY, 55.91%
KEY, 67.54%
KEY, 65.33%
KIM, 56.51%
KIM, 58.12%
KIM, 65.13%
KIM, 67.74%
KLAC, 53.71%
KLAC, 54.71%
KLAC, 67.74%
KLAC, 64.33%
KMB, 54.51%
KMB, 52.30%
KMB, 70.94%
KMB, 67.33%
KMI, 55.11%
KMI, 49.30%
KMI, 63.33%
KMI, 63.93%
KMX, 54.31%
KMX, 59.72%
KMX, 70.94%
KMX, 70.14%
KO, 53.11%
KO, 55.51%
KO, 69.54%
KO, 67.13%
KORS, 52.30%
KORS, 57.11%
KORS, 63.93%
KORS, 66.93%
KR, 56.91%
KR, 56.91%
KR, 59.92%
KR, 63.13%
KSS, 58.72%
KSS, 53.71%
KSS, 66.33%
KSS, 69.54%
KSU, 54.11%
KSU, 58.92%
KSU, 70.14%
KSU, 75.15%
L, 45.29%
L, 58.12%
L, 61.72%
L, 64.53%
LB, 57.52%
LB, 54.51%
LB, 63.93%
LB, 68.14%
LEG, 54.31%
LEG, 54.31%
LEG, 70.94%
LEG, 64.93%
LEN, 57.92%
LEN, 55.11%
LEN, 68.94%
LEN, 63.33%
LH, 54.71%
LH, 56.91%
LH, 61.72%
LH, 57.92%
LKQ, 57.11%
LKQ, 53.71%
LKQ, 66.13%
LKQ, 65.93%
LLL, 54.31%
LLL, 56.31%
LLL, 59.12%
LLL, 62.93%
LLY, 56.31%
LLY, 52.91%
LLY, 64.13%
LLY, 68.94%
LMT, 51.30%
LMT, 54.71%
LMT, 52.71%
LMT, 57.11%
LNC, 54.11%
LNC, 58.32%
LNC, 62.93%
LNC, 57.92%
LNT, 58.12%
LNT, 58.12%
LNT, 71.14%
LNT, 71.54%
LOW, 59.12%
LOW, 55.11%
LOW, 66.73%
LOW, 53.31%
LRCX, 50.70%
LRCX, 55.51%
LRCX, 63.13%
LRCX, 58.72%
LUV, 56.91%
LUV, 56.31%
LUV, 63.73%
LUV, 59.92%
LYB, 58.72%
LYB, 57.11%
LYB, 65.73%
LYB, 63.53%
M, 52.30%
M, 53.91%
M, 61.32%
M, 65.53%
MA, 50.30%
MA, 55.11%
MA, 62.32%
MA, 61.32%
MAA, 53.11%
MAA, 51.10%
MAA, 58.92%
MAA, 60.92%
MAC, 53.51%
MAC, 52.10%
MAC, 66.93%
MAC, 67.54%
MAR, 53.51%
MAR, 57.92%
MAR, 60.32%
MAR, 64.13%
MAS, 52.71%
MAS, 52.91%
MAS, 65.53%
MAS, 65.13%
MAT, 53.11%
MAT, 52.51%
MAT, 72.55%
MAT, 63.73%
MCD, 50.70%
MCD, 54.91%
MCD, 56.11%
MCD, 61.52%
MCHP, 55.71%
MCHP, 51.30%
MCHP, 60.92%
MCHP, 65.33%
MCK, 60.52%
MCK, 58.12%
MCK, 63.33%
MCK, 70.14%
MCO, 49.30%
MCO, 55.31%
MCO, 64.53%
MCO, 61.12%
