MNST, 52.71%, 51.7%, 47.7%, 44.29%
MO, 51.5%, 46.89%, 46.69%, 54.91%
MOS, 53.71%, 50.7%, 49.5%, 49.3%
MPC, 52.51%, 56.91%, 56.31%, 57.52%
MRK, 53.11%, 47.29%, 46.49%, 50.7%
MRO, 43.89%, 52.1%, 49.7%, 52.3%
MS, 49.9%, 53.31%, 49.1%, 50.3%
MSFT, 52.1%, 42.48%, 46.09%, 49.7%
MSI, 47.29%, 46.09%, 53.51%, 47.09%
MTB, 53.71%, 53.71%, 47.29%, 53.11%
MTD, 46.29%, 46.49%, 42.89%, 54.91%
MU, 49.3%, 46.89%, 49.1%, 53.11%
MYL, 46.69%, 49.1%, 51.7%, 49.3%
NBL, 54.31%, 52.3%, 47.7%, 48.5%
NCLH, 49.3%, 54.31%, 47.49%, 50.9%
NDAQ, 41.48%, 55.51%, 50.5%, 56.11%
NEE, 50.3%, 56.11%, 54.71%, 44.49%
NEM, 49.9%, 46.49%, 48.5%, 49.5%
NFLX, 50.3%, 56.51%, 49.9%, 49.5%
NFX, 49.3%, 49.5%, 52.3%, 49.3%
NI, 51.3%, 48.3%, 44.69%, 52.3%
NKE, 51.9%, 47.29%, 46.89%, 48.1%
NLSN, 52.71%, 47.29%, 47.9%, 49.9%
NOC, 49.3%, 57.92%, 54.11%, 51.9%
NOV, 52.51%, 50.7%, 48.3%, 51.9%
NRG, 45.29%, 53.51%, 50.9%, 47.09%
NSC, 47.29%, 45.29%, 55.51%, 53.51%
NTAP, 52.3%, 47.09%, 48.7%, 52.3%
NTRS, 51.7%, 45.49%, 53.91%, 54.11%
NUE, 53.11%, 48.5%, 53.11%, 52.3%
NVDA, 53.91%, 45.09%, 47.29%, 46.69%
NWL, 47.29%, 51.7%, 50.9%, 50.7%
NWS, 46.49%, 47.49%, 52.71%, 46.29%
NWSA, 49.3%, 47.7%, 47.9%, 49.5%
O, 51.7%, 55.71%, 54.31%, 43.69%
OKE, 50.5%, 51.9%, 49.5%, 50.1%
OMC, 51.1%, 50.7%, 51.9%, 47.09%
ORCL, 51.3%, 46.09%, 44.49%, 53.31%
ORLY, 51.3%, 50.9%, 44.69%, 51.5%
OXY, 50.9%, 53.71%, 50.9%, 49.9%
PAYX, 52.3%, 45.69%, 52.3%, 51.1%
PBCT, 51.1%, 52.71%, 51.9%, 52.51%
PCAR, 48.1%, 52.51%, 52.3%, 51.9%
PCG, 50.3%, 53.71%, 51.7%, 47.29%
PDCO, 46.49%, 45.89%, 46.89%, 52.51%
PEG, 51.9%, 53.51%, 56.31%, 44.09%
PEP, 49.3%, 43.29%, 53.71%, 47.49%
PFE, 52.51%, 48.7%, 50.9%, 50.7%
PFG, 55.71%, 57.11%, 53.91%, 43.69%
PG, 46.69%, 46.69%, 49.9%, 50.3%
PGR, 48.5%, 54.91%, 51.9%, 51.7%
PH, 49.3%, 54.11%, 55.11%, 47.7%
PHM, 48.1%, 56.31%, 45.69%, 46.69%
PKG, 50.1%, 53.31%, 47.49%, 54.51%
PKI, 51.5%, 58.32%, 50.1%, 52.91%
PLD, 49.3%, 43.29%, 47.49%, 47.09%
PM, 51.5%, 54.11%, 47.9%, 49.3%
PNC, 48.3%, 55.11%, 45.49%, 52.51%
PNR, 51.7%, 48.7%, 51.5%, 52.51%
PNW, 55.91%, 41.68%, 44.09%, 53.71%
PPG, 48.5%, 52.51%, 50.1%, 55.31%
PPL, 49.5%, 52.1%, 48.7%, 47.9%
PRGO, 52.91%, 50.1%, 50.1%, 52.1%
PRU, 49.1%, 55.71%, 47.09%, 47.7%
PSA, 54.11%, 46.29%, 55.31%, 54.11%
PSX, 48.9%, 44.69%, 46.49%, 48.1%
PVH, 50.5%, 44.69%, 50.3%, 47.49%
PWR, 52.91%, 53.11%, 48.1%, 52.71%
PX, 54.11%, 49.3%, 49.5%, 50.7%
PXD, 47.29%, 47.49%, 51.7%, 47.7%
QCOM, 54.51%, 50.7%, 49.3%, 48.9%
RCL, 48.5%, 60.12%, 52.91%, 47.09%
RE, 45.49%, 52.71%, 48.1%, 48.5%
REG, 48.7%, 47.29%, 50.7%, 54.31%
REGN, 53.91%, 48.1%, 50.7%, 51.1%
RF, 51.1%, 50.1%, 49.9%, 50.3%
RHI, 49.3%, 46.29%, 46.69%, 43.29%
RHT, 54.11%, 57.52%, 47.49%, 54.51%
RJF, 46.89%, 60.52%, 46.49%, 46.49%
RL, 48.9%, 49.1%, 47.7%, 53.31%
RMD, 53.91%, 55.31%, 56.51%, 43.49%
ROK, 48.9%, 43.49%, 50.9%, 47.9%
ROP, 44.89%, 44.29%, 44.49%, 44.89%
